,permno,date,mkt,ret_1,ret,alpa,beta,stdvare
10853,600123.0,2016-01-31,-0.24457,-0.0042,-0.1265,-0.0013452633418149264,1.0555540789143623,0.09818118685936447
10854,600123.0,2016-02-29,-0.018642,0.0669,-0.0042,-0.0015804912632035976,1.054328862812731,0.09809688472011471
10855,600123.0,2016-03-31,0.13521,0.044000000000000004,0.0669,-0.002542137779727241,1.0470196806564345,0.09818327740528841
10856,600123.0,2016-04-30,-0.019588,-0.0817,0.044000000000000004,-0.0020370138295496346,1.0438789485007156,0.09836548045133303
10857,600123.0,2016-05-31,-0.005593,0.0125,-0.0817,-0.0014368037257584641,1.0804406592524736,0.09661411233863308
10858,600123.0,2016-06-30,0.019851,-0.0,0.0125,-0.0009626324725582319,1.0821468391559046,0.09641879308603662
10859,600123.0,2016-07-31,0.019821,0.0571,-0.0,-0.0011664063161049443,1.082296389130741,0.09643612858695412
10860,600123.0,2016-08-31,0.041275,-0.0053,0.0571,-0.001195774700370876,1.0822761607498532,0.09643139173203416
10861,600123.0,2016-09-30,-0.019371,0.0437,-0.0053,-0.00023701393399940332,1.0849463554466283,0.0959791487487335
10862,600123.0,2016-10-31,0.030238,0.0013,0.0437,-0.0003335160513918724,1.0850132703875608,0.09596232278733455
10863,600123.0,2016-11-30,0.044556,0.019,0.0013,-0.0009051526250119773,1.0809795734081407,0.09601815895865681
10864,600125.0,2014-12-31,0.165543,-0.0,0.16579999999999998,0.008403988080040234,0.8138413393399239,0.09752673582802675
10865,600125.0,2015-01-31,0.007826,-0.023700000000000002,-0.0,0.0077520155821197406,0.8180701799628953,0.09740749744362098
10866,600125.0,2015-02-28,0.04031,0.348,-0.023700000000000002,0.006966753189659612,0.8136202538488019,0.09751461463594124
10867,600125.0,2015-03-31,0.148415,0.1775,0.348,0.0075868072675154205,0.8490931260181841,0.09934274657576493
10868,600125.0,2015-04-30,0.17834,-0.0154,0.1775,0.005725421744375531,0.8623176547234379,0.09750845537511657
10869,600125.0,2015-05-31,0.067707,0.1481,-0.0154,0.006324527686570217,0.8486915077266198,0.09720952240221763
10870,600125.0,2015-06-30,-0.069175,-0.2113,0.1481,0.009226902331546879,0.830363743692988,0.0984516486111729
10871,600125.0,2015-07-31,-0.149457,-0.2506,-0.2113,0.007331819914566901,0.8487371645577827,0.09851147478540724
10872,600125.0,2015-08-31,-0.13595,-0.1118,-0.2506,0.005859653477036812,0.8698629868081845,0.09933291952988219
10873,600125.0,2015-09-30,-0.058022,0.2531,-0.1118,0.003638396182285189,0.8768444425293973,0.09807072066392464
10874,600125.0,2015-10-31,0.133979,-0.10640000000000001,0.2531,0.004981057096759209,0.8870318870079686,0.09867021748185377
10875,600125.0,2015-11-30,0.031874,0.0132,-0.10640000000000001,0.004409399821619909,0.8842882881695951,0.09931424613585063
10876,600125.0,2015-12-31,0.03995,-0.3077,0.0132,0.003650366068132814,0.8818656672082653,0.0991321253191672
10877,600125.0,2016-01-31,-0.24457,-0.0518,-0.3077,0.0022622316780273894,0.9012744105459058,0.09945288423597094
10878,600125.0,2016-02-29,-0.018642,0.16390000000000002,-0.0518,0.0025981970928686537,0.9036441276784504,0.09922554571142063
10879,600125.0,2016-03-31,0.13521,-0.0484,0.16390000000000002,0.0010188734701328944,0.9077063672247452,0.09722610279093641
10880,600125.0,2016-04-30,-0.019588,-0.0538,-0.0484,0.00036585176714818216,0.9041810078116044,0.09714169708152764
10881,600125.0,2016-05-31,-0.005593,0.0177,-0.0538,0.00023275085302700872,0.913321071802279,0.09713571696819243
10882,600125.0,2016-06-30,0.019851,0.0644,0.0177,0.00011618480015584791,0.912957738553199,0.09712728246065866
10883,600125.0,2016-07-31,0.019821,0.032400000000000005,0.0644,0.00046310535287040315,0.9133739871579447,0.09721749187064542
10884,600125.0,2016-08-31,0.041275,-0.045700000000000005,0.032400000000000005,0.0008396730626081886,0.9142549885765433,0.09709952416748233
10885,600125.0,2016-09-30,-0.019371,0.1422,-0.045700000000000005,0.001386642113799191,0.9182637564484832,0.0966886048942467
10886,600125.0,2016-10-31,0.030238,0.0223,0.1422,0.002375816742501813,0.9198205593085472,0.09722931996204796
10887,600125.0,2016-11-30,0.044556,0.0359,0.0223,0.0018646546651404274,0.9144928302782925,0.09714048663154096
10888,600126.0,2014-12-31,0.165543,0.0998,0.0374,-0.005643720269405041,1.035659887756791,0.06931874723838137
10889,600126.0,2015-03-31,0.148415,0.5759000000000001,0.0998,-0.006525243189003813,1.034230234720397,0.06923030901582673
10890,600126.0,2015-04-30,0.17834,0.1813,0.5759000000000001,-0.004038398696015029,1.0974180554908228,0.0777271089029094
10891,600126.0,2015-05-31,0.067707,-0.2414,0.1813,-0.003082829391701448,1.1008322297597115,0.07836968676330264
10892,600126.0,2015-06-30,-0.069175,-0.25920000000000004,-0.2414,-0.003404200076136607,1.1077800520370134,0.0787052213286224
10893,600126.0,2015-07-31,-0.149457,0.0235,-0.25920000000000004,-0.004854241949881408,1.125465306890068,0.0790231867885427
10894,600126.0,2015-08-31,-0.13595,-0.051500000000000004,0.0235,-0.0032251468381781813,1.100048784419658,0.08059335765642038
10895,600126.0,2015-09-30,-0.058022,0.1408,-0.051500000000000004,-0.0026876002339604917,1.0975357936808066,0.08050707865420487
10896,600126.0,2015-10-31,0.133979,-0.0051,0.1408,-0.001974011753099768,1.1036073809680464,0.07994873260184858
10897,600126.0,2015-11-30,0.031874,0.0478,-0.0051,-0.00202778661620151,1.1027802300630412,0.0799784449410546
10898,600126.0,2015-12-31,0.03995,-0.24760000000000001,0.0478,-0.0013775993205757849,1.0988432964857664,0.07977195422463548
10899,600126.0,2016-01-31,-0.24457,-0.0,-0.24760000000000001,-0.0009007305040094407,1.093418511030423,0.0797683372513892
10900,600126.0,2016-02-29,-0.018642,0.1309,-0.0,-0.0009534321322062292,1.0918933127471993,0.07974220075701363
10901,600126.0,2016-03-31,0.13521,-0.0724,0.1309,-0.000739968075042053,1.0932457720323756,0.0796521643774643
10902,600126.0,2016-04-30,-0.019588,-0.0546,-0.0724,-0.0012452944272384608,1.0947127559541527,0.07977974047904053
10903,600126.0,2016-05-31,-0.005593,-0.009899999999999999,-0.0546,-0.00209033152761591,1.095639126905311,0.07974926530995895
10904,600126.0,2016-06-30,0.019851,0.0617,-0.009899999999999999,-0.0006491751269119481,1.115916715442095,0.0766158507359478
10905,600126.0,2016-07-31,0.019821,0.1052,0.0617,-0.000522043916989387,1.1102335620665391,0.07663471497652675
10906,600126.0,2016-08-31,0.041275,0.22870000000000001,0.1052,4.917143152298464e-05,1.1119229860875106,0.07681966018464469
10907,600126.0,2016-09-30,-0.019371,0.043899999999999995,0.22870000000000001,0.0026307112857267417,1.101756243475639,0.08001220389761811
10908,600126.0,2016-10-31,0.030238,-0.0033,0.043899999999999995,0.002611519415869415,1.1016586862327342,0.08000982578437658
10909,600126.0,2016-11-30,0.044556,-0.0667,-0.0033,0.0028612984850353226,1.1029038114223102,0.07977025065948416
10910,600127.0,2015-01-31,0.007826,0.011699999999999999,-0.0,0.001280838934721782,1.0539223506014666,0.09309067013112278
10911,600127.0,2015-02-28,0.04031,0.21489999999999998,0.011699999999999999,0.00157067222009857,1.0489978346245556,0.09299376772296138
10912,600127.0,2015-03-31,0.148415,0.1007,0.21489999999999998,0.0024522653616698177,1.0620003953455677,0.09286335966913714
